Order ID: 5 || Created by user with ID: 0 || Date of creating 10/03/2022 18:36 || Order cost: 3.0 || Order expected delivery date: 13/03/2022 18:36 || Ordered product/s ID/s ,5 || Amount of ordered products ,3
Order ID: 18 || Created by user with ID: 0 || Date of creating 04/05/2022 19:21 || Order cost: 1.0 || Order expected delivery date: 09/05/2022 19:20 || Ordered product/s ID/s ,4,4 || Amount of ordered products ,1,1
Order ID: 19 || Created by user with ID: 0 || Date of creating 04/05/2022 19:22 || Order cost: 8.0 || Order expected delivery date: 08/05/2022 19:22 || Ordered product/s ID/s ,3,3 || Amount of ordered products ,1,1
Order ID: 20 || Created by user with ID: 0 || Date of creating 04/05/2022 19:22 || Order cost: 1.0 || Order expected delivery date: 09/05/2022 19:22 || Ordered product/s ID/s ,4,4 || Amount of ordered products ,1,1
Order ID: 21 || Created by user with ID: 0 || Date of creating 04/05/2022 19:24 || Order cost: 12.600000000000001 || Order expected delivery date: 10/05/2022 19:22 || Ordered product/s ID/s ,6,6 || Amount of ordered products ,3,3
Order ID: 22 || Created by user with ID: 0 || Date of creating 04/05/2022 19:26 || Order cost: 3.0 || Order expected delivery date: 09/05/2022 19:25 || Ordered product/s ID/s ,5,5 || Amount of ordered products ,3,3
Order ID: 23 || Created by user with ID: 0 || Date of creating 04/05/2022 19:30 || Order cost: 27.0 || Order expected delivery date: 09/05/2022 19:30 || Ordered product/s ID/s ,6,5,6,5 || Amount of ordered products ,5,6,5,6
Order ID: 24 || Created by user with ID: 0 || Date of creating 04/05/2022 19:35 || Order cost: 7.0 || Order expected delivery date: 09/05/2022 19:35 || Ordered product/s ID/s ,4,5,4,5 || Amount of ordered products ,2,5,2,5
Order ID: 25 || Created by user with ID: 0 || Date of creating 04/05/2022 19:38 || Order cost: 13.0 || Order expected delivery date: 09/05/2022 19:38 || Ordered product/s ID/s ,5,3,5,5,3,5 || Amount of ordered products ,4,1,1,4,1,1
Order ID: 26 || Created by user with ID: 0 || Date of creating 04/05/2022 19:45 || Order cost: 9.0 || Order expected delivery date: 09/05/2022 19:45 || Ordered product/s ID/s ,5,5,5,5 || Amount of ordered products ,6,3,6,3
Order ID: 27 || Created by user with ID: 0 || Date of creating 04/05/2022 19:46 || Order cost: 7.0 || Order expected delivery date: 09/05/2022 19:46 || Ordered product/s ID/s ,5,5,5,5 || Amount of ordered products ,4,3,4,3
Order ID: 27 || Created by user with ID: 0 || Date of creating 04/05/2022 19:46 || Order cost: 14.0 || Order expected delivery date: 14/05/2022 19:46 || Ordered product/s ID/s ,5,5,5,5,5,5,5,5 || Amount of ordered products ,4,3,4,3,4,3,4,3
Order ID: 29 || Created by user with ID: 0 || Date of creating 04/05/2022 19:47 || Order cost: 6.0 || Order expected delivery date: 07/05/2022 19:47 || Ordered product/s ID/s ,4,5,4,5 || Amount of ordered products ,3,3,3,3
Order ID: 30 || Created by user with ID: 0 || Date of creating 04/05/2022 19:49 || Order cost: 7.0 || Order expected delivery date: 09/05/2022 19:48 || Ordered product/s ID/s ,5,5,5,5 || Amount of ordered products ,4,3,4,3
Order ID: 31 || Created by user with ID: 0 || Date of creating 04/05/2022 20:25 || Order cost: 0.0 || Order expected delivery date: 09/05/2022 20:25 || Ordered product/s ID/s ,2,2 || Amount of ordered products ,1,1
Order ID: 32 || Created by user with ID: 0 || Date of creating 04/05/2022 20:29 || Order cost: 0.0 || Order expected delivery date: 09/05/2022 20:29 || Ordered product/s ID/s ,3,3 || Amount of ordered products ,2,2
Order ID: 33 || Created by user with ID: 0 || Date of creating 04/05/2022 20:30 || Order cost: 0.0 || Order expected delivery date: 09/05/2022 20:29 || Ordered product/s ID/s ,1,3,1,3 || Amount of ordered products ,4,4,4,4
Order ID: 34 || Created by user with ID: 0 || Date of creating 04/05/2022 20:34 || Order cost: 0.0 || Order expected delivery date: 09/05/2022 20:33 || Ordered product/s ID/s ,3,3 || Amount of ordered products ,1,1
Order ID: 35 || Created by user with ID: 0 || Date of creating 04/05/2022 20:38 || Order cost: 0.0 || Order expected delivery date: 09/05/2022 20:37 || Ordered product/s ID/s ,3,3,3,3 || Amount of ordered products ,1,11,1,11
Order ID: 36 || Created by user with ID: 0 || Date of creating 04/05/2022 20:40 || Order cost: 0.0 || Order expected delivery date: 28/01/2025 20:38 || Ordered product/s ID/s ,3,3 || Amount of ordered products ,1,1
Order ID: 37 || Created by user with ID: 0 || Date of creating 04/05/2022 20:41 || Order cost: 0.0 || Order expected delivery date: 08/05/2022 20:40 || Ordered product/s ID/s ,2,3,2,3 || Amount of ordered products ,7,6,7,6
Order ID: 38 || Created by user with ID: 0 || Date of creating 04/05/2022 20:43 || Order cost: 0.0 || Order expected delivery date: 05/05/2022 20:41 || Ordered product/s ID/s ,3,3,3,3 || Amount of ordered products ,1,4,1,4
Order ID: 1 || Created by user with ID: 0 || Date of creating 11/05/2022 14:24 || Order cost: 1.78 || Order expected delivery date: 16/05/2022 14:24 || Ordered product/s ID/s ,1,1 || Amount of ordered products ,2,2
Order ID: 1 || Created by user with ID: 0 || Date of creating 11/05/2022 14:26 || Order cost: 44.45 || Order expected delivery date: 16/05/2022 14:26 || Ordered product/s ID/s ,1,2,1,2 || Amount of ordered products ,5,8,5,8
Order ID: 3 || Created by user with ID: 0 || Date of creating 11/05/2022 14:27 || Order cost: 118.11 || Order expected delivery date: 16/05/2022 14:27 || Ordered product/s ID/s ,2,1,2,1 || Amount of ordered products ,6,99,6,99
Order ID: 4 || Created by user with ID: 0 || Date of creating 11/05/2022 14:28 || Order cost: 0.89 || Order expected delivery date: 15/05/2022 14:27 || Ordered product/s ID/s ,1,1 || Amount of ordered products ,1,1
Order ID: 5 || Created by user with ID: 0 || Date of creating 11/05/2022 14:29 || Order cost: 3.56 || Order expected delivery date: 15/05/2022 14:28 || Ordered product/s ID/s ,1,1 || Amount of ordered products ,4,4
